순번,자치구,구역명,위치,,사업방법,,,사업추진단계,기존 가구수(멸실량),추진단계,,,,,,,,,,,,공급형태별 건립세대수 (공급량),,
,,,,,,,,,,,,,,,,,,,,,,총합계,분양,임대
,,,,,,,,,,"구역지정
(아파트 지구는 정비계획 수립)",,추진위원회,"조합설립인가
(사업시행자 지정일)",건축심의,사업시행인가,,"관리처분
계획인가",,이주,,착공,,,
,,,위치1(지번주소),위치2(도로명주소),공공/민간,일반/재촉지구,사업유형,,,최초,변경(최종),,,,최초,변경(최종),최초,변경(최종),이주시작일,이주종료일,,,,
271,양천구,신월7동2,신월7동 941번지 일대,양천구 지양로7길 14,공공,일반,주택정비형 재개발,조합설립,1549,2024-03-28,,,2024-06-25,,,,,,,,,2228,1684,544
272,양천구,신월시영,양천구 신월동 987-1,양천구 신월로 99,민간,일반,공동주택 재건축,조합설립,2256,2025-08-07,,,2025-11-06,,,,,,,,,3149,2953,196
273,양천구,신정동1152번지일대,신정동 1152 일대,양천구 중앙로25길 17,민간,일반,주택정비형 재개발,조합설립,411,2023-09-07,2023-09-07,,2024-06-18,,,,,,,,,956,703,253
274,강서구,방화6,방화동 608-97,방화대로25길 13,민간,재촉,단독주택 재건축,착공,402,2010-03-25,2021-02-04,2010-09-07,2017-04-03,2017-06-29,2018-11-05,2022-05-25,2021-08-04,,,,2025-09-08,557,537,20
275,강서구,방화3,방화동 615-103,개화동로25길 39,민간,재촉,단독주택 재건축,사업시행,1413,2012-07-26,2025-07-24,2014-05-29,2019-08-08,2023-06-13,2024-08-07,,,,,,,1476,1420,56
276,강서구,방화5,공항동 18,방화대로21길 70,민간,재촉,단독주택 재건축,관리처분,1822,2017-08-17,2021-07-22,2018-04-26,2019-07-17,2020-12-22,2022-04-20,,2024-09-11,,2024-12-24,2025-06-23,,1657,1596,61
277,강서구,신안빌라,마곡동 327-53,방화대로34길 120,민간,일반,공동주택 재건축,건축심의,234,2012-08-09,2025-10-10,2023-02-06,2023-07-05,2025-04-24,,,,,,,,365,358,7
278,강서구,등촌1,등촌동 366-24,등촌로51마길 18,민간,일반,단독주택 재건축,착공,441,2008-10-23,2020-11-11,2006-08-03,2009-11-26,2021-03-16,2013-01-09,2024-05-27,2018-05-02,2024-10-02,,,2023-08-25,543,517,26
279,강서구,방화2,방화동 589-13,"초원로 38-14
",민간,재촉,주택정비형 재개발,조합설립,672,2024-03-21,2025-11-27,,2024-08-16,,,,,,,,,740,643,97
280,구로구,개봉3,고척동 311-14,-,민간,일반,단독주택 재건축,조합설립,1362,2010-05-13,2023-12-28,2006-04-27,2019-08-02,,,,,,,,,2177,1880,297
281,구로구,고척4,고척동 148,"-

",민간,일반,주택정비형 재개발,착공,359,2014-03-13,2023-07-24,,,2018-02-01,2018-12-20,2025-03-17,2021-06-10,2024-08-26,,,2025-05-01,983,835,148
282,구로구,"대흥,성원,동진빌라",온수동 45-32,경인로 5(온수동),민간,일반,공동주택 재건축,사업시행,741,2014-06-01,2025-01-23,2008-09-10,2016-02-17,2017-08-29,2018-11-15,2018-11-15,,,,,,1455,1373,82
283,구로구,오류동현대연립,오류동 156-15,오류로 62-15(오류동),민간,일반,공동주택 재건축,관리처분,240,2015-07-30,2019-11-28,2016-05-25,2018-04-11,2020-06-17,2021-05-06,2024-09-12,2023-07-26,,2024-07-01,2024-11-30,,447,408,39
284,구로구,보광아파트,구로동 440,가마산로 231(구로동),민간,일반,공동주택 재건축,사업시행,340,2016-03-31,2024-06-13,2017-05-02,2020-04-28,2021-08-31,2023-03-10,2025-03-13,,,,,,675,675,0
285,구로구,고척동산업인아파트,고척동 57-9,경인로47다길 43(고척동),민간,일반,공동주택 재건축,사업시행,342,2016-11-10,2022-02-22,2018-11-20,2021-05-12,2023-05-30,2024-06-05,2024-06-13,,,,,,367,367,0
286,구로구,길훈아파트,개봉동 312-38,개봉로3가길 88-41(개봉동),민간,일반,공동주택 재건축,착공,205,2011-06-30,2011-06-30,2009-11-24,2010-06-21,2015-06-18,2016-05-13,2016-05-13,2017-12-28,2024-10-31,,,2022-12-09,295,295,0
287,구로구,가리봉1구역,가리봉동 115번지 일대,우마2가길 28,민간,일반,주택정비형 재개발,추진위,1369,2025-04-17,,2025-10-01,,,,,,,,,,2259,1650,609
288,구로구,가리봉2구역,"가리봉 87-177
","구로동로5길 23-21
",민간,일반,주택정비형 재개발,추진위,610,2025-03-13,,2025-10-01,,,,,,,,,,1214,931,283
289,구로구,고척동253번지일대,고척동 253번지 일대,고척로41가길 21,민간,일반,주택정비형 재개발,추진위,1738,2025-04-24,,2025-11-06,,,,,,,,,,1469,1243,226
290,구로구,구로우성아파트,"구로동 23
",공원로6가길 67,민간,일반,공동주택 재건축,구역지정,344,2025-03-26,2025-03-26,,,,,,,,,,,522,453,69
291,구로구,남구로역세권공공임대주택도시정비형재개발정비구역,구로동 715-24번지 일대,구로동로11길 10 일대,민간,일반,도시정비형 재개발,사업시행,153,2020-02-27,,,,2022-12-22,2024-02-16,2024-08-28,,,,,,299,214,85
292,구로구,서울가든빌라,오류동 97-4,,민간,일반,공동주택 재건축,구역지정,339,2024-03-07,2024-03-07,,,,,,,,,,,653,582,71
293,구로구,신도림동293번지일대,신도림동 293,구로중앙로42길,민간,일반,도시정비형 재개발,구역지정,1384,2012-10-25,2012-10-25,,,,,,,,,,,2722,2219,503
294,구로구,우신빌라,궁동 213-21,,민간,일반,공동주택 재건축,구역지정,762,2023-12-28,2023-12-28,,,,,,,,,,,1127,1063,64
295,구로구,한효아파트,"고척동 52-332
",,민간,일반,공동주택 재건축,구역지정,290,2023-01-05,2023-01-05,,,,,,,,,,,440,407,33
296,금천구,시흥무지개아파트,시흥동 109-1 ,시흥대로73길 11,민간,일반,공동주택 재건축,사업시행,662,2017-02-16,,,2018-03-15,2020-05-12,2021-06-30,,,,,,,993,865,128
297,금천구,시흥동현대아파트,시흥동 220-2,탑골로3길 50,민간,일반,공동주택 재건축,착공,140,2019-12-31,2020-11-02,,2020-05-04,2020-11-25,2022-02-28,2024-07-23,2023-01-06,2024-04-11,,,2024-09-13,219,219,0
298,금천구,독산시흥,시흥1동 871번지일대,시흥대로74길 20일대,민간,일반,주택정비형 재개발,조합설립,920,2025-01-16,,,2025-08-21,,,,,,,,,2072,1730,342
299,금천구,시흥1,시흥동 810,독산로 32길일대,민간,일반,주택정비형 재개발,구역지정,608,2024-07-11,,,,,,,,,,,,1170,945,225
300,영등포구,신길10,신길동 3590,신길로 108,민간,재촉,공동주택 재건축,관리처분,595,2007-11-29,2007-11-29,2004-02-25,2018-01-18,2019-10-08,2021-05-31,,2022-11-10,,2023-03-01,2024-05-30,,812,733,79
301,영등포구,여의도광장아파트28번지,여의도동 28,여의나루로 7,민간,일반,아파트지구 재건축,조합설립,576,2006-01-12,,2009-07-27,2019-06-05,,,,,,,,,1391,1159,232
302,영등포구,여의도광장아파트38-1번지,여의도동 38-1,여의나루로 12,민간,일반,아파트지구 재건축,조합설립,168,2006-01-12,,2023-01-19,2024-08-06,,,,,,,,,0,0,0
303,영등포구,여의도대교아파트,여의도동 41,국제금융로7길 20,민간,일반,아파트지구 재건축,사업시행,576,2024-09-26,,2023-02-28,2024-02-06,2025-02-27,2025-08-28,,,,,,,0,0,0
304,영등포구,여의도목화아파트,여의도동 30,여의나루로 126,민간,일반,아파트지구 재건축,조합설립,312,2006-01-12,,2009-03-16,2022-09-29,,,,,,,,,0,0,0
305,영등포구,여의도미성아파트,"여의도동 37,37-1",의사당대로 108,민간,일반,아파트지구 재건축,추진위,577,2006-01-12,,2009-09-16,,,,,,,,,,0,0,0
306,영등포구,여의도삼부아파트,"여의도동 30-2,3",국제금융로7길 27,민간,일반,아파트지구 재건축,추진위,866,2006-01-12,,2020-08-04,,,,,,,,,,0,0,0
307,영등포구,여의도삼익아파트,여의도동 51,국제금융로 109,민간,일반,아파트지구 재건축,조합설립,360,,,,2023-11-02,,,,,,,,,0,0,0
308,영등포구,여의도시범아파트,여의도동 50,63로 45,민간,일반,아파트지구 재건축,건축심의,1584,2025-02-13,,2008-05-14,2017-07-01,2025-11-13,,,,,,,,2473,2130,343
309,영등포구,여의도은하아파트,여의도동 52,63로 7,민간,일반,아파트지구 재건축,조합설립,360,,,,2023-11-30,,,,,,,,,0,0,0
310,영등포구,여의도한양아파트,여의도동 42,국제금융로 79,민간,일반,아파트지구 재건축,사업시행,588,2024-03-21,,,2022-08-04,2024-12-23,2025-10-31,,,,,,,992,814,178
311,영등포구,영등포1-11,영등포동5가 30,영중로20길 2,민간,재촉,도시정비형 재개발,사업시행,560,2005-12-22,2005-12-22,2010-02-17,2020-11-26,2024-04-30,2025-05-14,,,,,,,818,647,171
312,영등포구,영등포1-12,영등포동5가 22-3,영중로14길 9-3,민간,재촉,도시정비형 재개발,조합설립,296,2005-12-22,2005-12-22,2018-06-14,2019-11-19,,,,,,,,,1182,947,235
313,영등포구,영등포1-13,영등포동5가 32-8,영중로22길 23,민간,재촉,도시정비형 재개발,착공,588,2005-12-22,2005-12-22,2008-06-13,2010-04-28,2018-06-12,2019-12-30,2023-10-19,2021-07-12,,,,2025-05-13,659,398,261
314,영등포구,영등포1-2,영등포동7가 76-5,영중로 94,민간,재촉,도시정비형 재개발,사업시행,2,2005-12-22,2005-12-22,2008-02-05,2008-04-08,2021-04-15,2024-06-07,,,,,,,218,149,69
315,영등포구,문래동국화아파트,문래동3가 76-1,도림로 462,민간,일반,공동주택 재건축,조합설립,270,2020-12-03,2020-12-03,2022-01-19,2024-11-28,,,,,,,,,354,324,30
316,영등포구,문래동남성아파트,문래동2가 35,경인로77길 19,민간,일반,공동주택 재건축,사업시행,390,2013-09-05,2013-09-05,2009-08-26,2017-08-26,2020-10-13,2021-07-23,,,,,,,488,436,52
317,영등포구,문래동진주아파트,문래동5가 22,선유로9길 31,민간,일반,공동주택 재건축,관리처분,160,2015-11-19,2015-11-19,,2017-12-21,2020-09-15,2021-05-20,,2023-08-17,,2024-08-26,2025-01-27,,324,284,40
318,영등포구,신길동삼성아파트,신길동 4759,여의대방로 45,민간,일반,공동주택 재건축,건축심의,384,2015-08-13,2015-08-13,2016-06-11,2018-01-26,2020-09-15,,,,,,,,562,468,94
319,영등포구,신길동우성2차·우창아파트,신길동 4501,여의대방로5길 2,민간,일반,공동주택 재건축,사업시행,939,2020-07-02,2020-07-02,,2020-09-24,2023-07-25,2024-11-14,,,,,,,1212,1104,108
320,영등포구,양평13,"양평동2가 33-20
",선유서로25길 6-5,공공,일반,도시정비형 재개발,사업시행,389,2009-09-24,2023-12-28,2008-08-29,2010-04-12,2025-02-27,2010-12-02,2025-12-18,,,,,,557,353,204
321,영등포구,양평동신동아아파트,양평동1가 20,선유서로 76,민간,일반,공동주택 재건축,조합설립,495,2011-06-30,2011-06-30,2009-04-24,2020-12-08,,,,,,,,,563,507,56
322,영등포구,여의도공작아파트,여의도동 21-2,"여의대로6길 17
",민간,일반,공동주택 재건축,조합설립,373,2022-11-17,2022-11-17,,2023-02-23,,,,,,,,,581,501,80
323,영등포구,여의도수정아파트,여의도동 32,"국제금융로7길 1
",민간,일반,공동주택 재건축,구역지정,329,2025-05-22,,,,,,,,,,,,498,437,61
324,영등포구,여의도진주아파트,"여의도동 54-4
",국제금융로 108-6,민간,일반,공동주택 재건축,추진위,376,2025-04-03,,2025-06-02,,,,,,,,,,578,490,88
325,영등포구,유원제일1차아파트,당산동4가 91,국회대로29길 13,민간,일반,공동주택 재건축,착공,360,2014-07-10,2014-07-10,2009-09-03,2017-11-24,2019-03-12,2019-12-30,2024-01-15,2022-04-13,2025-01-20,,,2024-08-05,550,479,71
326,영등포구,유원제일2차아파트,당산동5가 7-2,선유동2로 46,민간,일반,공동주택 재건축,사업시행,410,2015-07-30,2015-07-30,2016-06-10,2018-08-20,2023-08-26,2025-03-13,,,,,,,703,628,75
327,영등포구,당산1구역,당산동6가 104,당산로52길 23,민간,일반,주택정비형 재개발,추진위,764,2025-04-10,2025-04-10,2025-12-10,,,,,,,,,,737,518,219
328,영등포구,신길제2구역,신길동 190,신길로58길 1-3,민간,일반,주택정비형 재개발,사업시행,2790,2009-08-20,2024-09-26,2007-08-24,2020-03-04,2024-03-04,2025-09-12,,,,,,,2550,1901,649
329,영등포구,양평12,"양평동1가 243-1
",-,민간,일반,도시정비형 재개발,착공,387,2009-09-24,2017-01-05,2008-09-29,2009-12-23,2017-07-24,2018-04-19,,2019-12-26,2022-10-18,,,2023-01-09,707,539,168
330,영등포구,영등포도심역세권도시정비형재개발구역,영등포동4가 431-6번지 일대,영중로3길 7,민간,일반,도시정비형 재개발,조합설립,165,2021-06-10,2021-06-10,2022-08-09,2023-07-28,,,,,,,,,999,804,195
331,영등포구,대선제분일대1구역1지구,문래동 3가 16-32,문래로30길 5,민간,일반,도시정비형 재개발,사업시행,0,2020-11-26,2020-11-26,,2021-03-11,2021-05-13,2022-03-04,,,,,,,141,125,16
332,영등포구,문래동4가,문래동4가 23-6번지,도림로141다길 20,민간,일반,도시정비형 재개발,조합설립,284,2013-07-11,2013-07-11,2019-05-28,2023-04-04,,,,,,,,,1114,915,199
333,영등포구,대림1구역,"대림동 855-1
",디지털로69나길 7,민간,일반,주택정비형 재개발,추진위,213,2025-03-27,,2025-11-13,,,,,,,,,,1026,868,158
334,영등포구,대선제분1구역5지구,"문래동3가 8-2
",영신로23길 17,민간,일반,도시정비형 재개발,사업시행,0,2020-11-26,2024-08-29,,,2024-12-23,2025-06-19,,,,,,,0,0,0
335,영등포구,"문래동1가A8,11지구",문래동1가 55,경인로80길 3,민간,일반,도시정비형 재개발,구역지정,0,2013-07-11,2025-03-13,,,,,,,,,,,0,0,0
336,영등포구,문래동1가A-5,문래동1가 74,"경인로76길 6
",민간,일반,도시정비형 재개발,관리처분,0,2013-07-11,2022-08-08,,2023-02-07,2022-09-22,2023-02-27,2025-07-11,2023-06-01,,,,,0,0,0
337,영등포구,문래동2가A-4,문래동2가26,"경인로 719
",민간,일반,도시정비형 재개발,구역지정,0,2013-07-11,2023-05-25,,,,,,,,,,,0,0,0
338,영등포구,신길1,신길동 147-80,도신로56길 29-5,공공,재촉,주택정비형 재개발,조합설립,909,2007-11-29,2024-12-26,,2025-05-01,,,,,,,,,1483,1042,441
339,영등포구,신길13,"신길동 340-1
","신길로23길 20
",공공,재촉,공동주택 재건축,사업시행,167,2007-11-29,2007-11-29,2020-03-19,2021-03-11,2024-10-11,2025-11-24,,,,,,,586,399,187
340,영등포구,신길역세권,신길동 39-3,"서울 영등포구 영등포로62라길 2
",민간,일반,도시정비형 재개발,건축심의,581,2018-06-28,2024-05-16,2019-05-27,2021-07-05,2024-02-07,,,,,,,,999,599,400
341,영등포구,양평14,양평동2가 29-6,선유서로 89,공공,일반,도시정비형 재개발,추진위,118,2013-11-07,2013-11-07,2018-07-31,,,,,,,,,,297,247,50
342,동작구,노량진3,노량진동 232-19,장승배기로24길 6,민간,재촉,주택정비형 재개발,사업시행,1038,2009-12-10,,2004-12-10,2017-12-29,2018-11-13,2021-02-26,2025-06-24,,,,,,1250,1035,215
343,동작구,노량진1,노량진동 278-2,노량진로10가길 30-9,민간,재촉,주택정비형 재개발,사업시행,3897,2009-12-10,2025-05-08,2011-07-29,2017-11-10,2021-06-08,2023-03-07,2023-03-07,,,,,,2992,2461,531
344,동작구,노량진6,노량진동 294-220,등용로4길 78,민간,재촉,주택정비형 재개발,착공,886,2009-12-10,2023-10-12,2010-03-25,2011-03-17,2017-10-24,2014-09-01,2025-12-24,2021-01-25,2021-01-25,,,2025-06-27,1499,1237,262
345,동작구,노량진5,노량진동 270-3,등용로4길 148,민간,재촉,주택정비형 재개발,관리처분,541,2009-12-10,,2010-02-26,2016-02-11,2019-05-28,2021-02-26,,2023-09-25,,2024-04-22,2025-03-31,,727,597,130
346,동작구,노량진2,노량진동 312-75,장승배기로15길 34,민간,재촉,주택정비형 재개발,착공,283,2009-12-10,2023-01-26,2010-02-04,2010-06-24,2024-01-09,2014-08-08,2025-05-01,2021-03-08,2021-03-08,,,2025-11-14,404,299,105
347,동작구,노량진4,노량진동 227-121,장승배기로20가길 17-28,민간,재촉,주택정비형 재개발,관리처분,1168,2009-12-10,,2010-06-29,2015-04-02,2017-06-13,2018-04-30,2025-02-25,2022-12-19,,2023-12-12,2024-08-31,,835,709,126
348,동작구,노량진8,대방동 23-61,등용로 114,민간,재촉,주택정비형 재개발,착공,1099,2010-06-03,2023-05-18,2010-07-14,2011-11-14,2017-08-01,2018-09-19,2025-05-27,2021-12-29,2021-12-29,,,2025-10-30,987,815,172
349,동작구,노량진7,대방동 13-31,등용로8가길 6,민간,재촉,주택정비형 재개발,관리처분,599,2010-06-03,,2011-06-03,2013-02-07,2015-08-18,2017-06-09,2025-08-21,2024-05-07,,2024-11-01,2025-12-31,,576,478,98
350,동작구,흑석1,흑석동 43-7,-,민간,재촉,주택정비형 재개발,조합설립,493,2008-09-11,2020-01-23,2009-01-15,2022-03-31,,,,,,,,,0,0,0
351,동작구,흑석9,흑석동 90,서달로10가길 1,민간,재촉,주택정비형 재개발,착공,1906,2009-09-11,2024-06-27,2008-06-20,2013-03-28,2024-04-09,2017-11-30,2024-11-08,2019-10-23,2024-01-11,,,2025-04-04,1536,1274,262
352,동작구,흑석2,흑석동 99-3,흑석로 110,공공,재촉,도시정비형 재개발,조합설립,390,2008-09-11,2025-07-31,,2021-09-13,,,,,,,,,1012,660,352
353,동작구,흑석11,흑석동 304,현충로 144,민간,재촉,주택정비형 재개발,관리처분,1829,2012-07-26,2025-08-21,2014-07-28,2015-12-01,2020-06-23,2021-03-18,2025-08-28,2022-08-16,2023-06-14,2022-11-24,2024-01-08,,1515,1249,266
354,동작구,사당5,사당동 303,사당로16길 117,민간,일반,단독주택 재건축,사업시행,414,2017-03-02,2017-03-02,2017-11-15,2018-11-21,2022-12-21,2024-02-14,,,,,,,530,495,35
355,동작구,상도14,상도동 244,성대로17길 68,민간,일반,주택정비형 재개발,조합설립,1239,2025-04-03,,,2025-10-02,,,,,,,,,1191,1040,151
356,동작구,상도15,상도동 279,성대로10길 44,민간,일반,주택정비형 재개발,조합설립,2572,2025-04-03,,,2025-06-05,,,,,,,,,3204,2704,500
357,관악구,신림2,신림동 324-25,원신길 225 일대,민간,재촉,주택정비형 재개발,관리처분,1115,2008-04-10,2019-10-31,2008-04-24,2008-08-27,2017-08-22,2018-09-20,2021-01-04,2021-04-29,,2021-10-25,2022-12-30,,1487,1262,225
358,관악구,신림1,"신림동 808
",양지길94,민간,재촉,주택정비형 재개발,사업시행,4410,2008-04-10,2024-06-20,2016-03-24,2019-11-21,2023-02-27,2025-03-11,,,,,,,4185,3554,631
359,관악구,봉천1-1,보라매동 728-57,보라매로6길 10 일대,민간,일반,단독주택 재건축,사업시행,471,2009-11-26,2022-08-26,2007-12-17,2019-11-13,2023-07-25,2025-05-14,,,,,,,807,740,67
360,관악구,봉천4-1-3,봉천동 480,,민간,일반,주택정비형 재개발,사업시행,642,,2009-11-19,2008-07-15,2014-05-15,2023-02-14,2024-05-30,2024-05-30,,,,,,855,694,161
361,관악구,봉천14,"봉천동 4-51
",청림5가길 24,민간,일반,주택정비형 재개발,사업시행,632,2014-06-19,2024-04-18,2009-09-09,2020-09-29,2023-08-29,2025-05-30,,,,,,,1571,1311,260
362,관악구,신림미성아파트,조원동 1656,조원로2길 13 일대,민간,일반,공동주택 재건축,사업시행,286,2010-12-16,2022-09-29,2004-02-27,2010-10-27,2023-11-28,2025-03-13,2025-03-13,,,,,,490,437,53
363,관악구,미성동건영아파트,미성동 746-43,문성로 74 일대,민간,일반,공동주택 재건축,조합설립,511,2018-11-08,2022-11-24,2019-10-28,2020-12-30,,,,,,,,,601,551,50
364,관악구,뉴서울개나리열망연립,신림동 739,미성10길 64 일대,민간,일반,공동주택 재건축,사업시행,211,2019-12-16,2022-11-03,2007-06-05,2020-11-05,2022-05-26,2023-07-13,,,,,,,306,275,31
365,관악구,봉천13,봉천동 922-1,남부순환로 1752,공공,일반,주택정비형 재개발,조합설립,169,2009-12-24,2009-12-24,2006-03-30,2022-02-10,,,,,,,,,473,301,172
366,관악구,신림7,신림동 675,,민간,일반,주택정비형 재개발,구역지정,1226,2024-09-26,,,,,,,,,,,,1402,1111,291
367,서초구,"반포주공1단지(1,2,4주구)",반포동 810,서초구 신반포로 45,민간,일반,아파트지구 재건축,착공,2210,2017-04-27,2022-06-23,2011-12-28,2013-09-11,2017-07-04,2017-09-27,2024-09-03,2018-12-03,,,,2024-03-29,5007,4794,213
368,서초구,반포주공1단지(3주구),반포동 1109,서초구 신반포로 32,민간,일반,아파트지구 재건축,착공,1490,2016-09-13,2016-09-13,2003-09-01,2014-12-11,2017-06-27,2017-09-25,2025-01-09,2021-07-14,2024-03-27,,,2023-03-03,2091,2091,0
369,서초구,방배13,방배동 541-2,서초구 효령로14다길 6,민간,일반,단독주택 재건축,관리처분,2911,2015-02-17,2023-07-20,2015-11-23,2016-07-29,2017-04-25,2017-09-06,,2018-09-03,,2021-03-30,2024-12-04,,2296,2092,204
370,서초구,방배14,방배동 975-35,서초구 방배중앙로3길 26,민간,일반,단독주택 재건축,관리처분,506,2014-07-10,2022-10-06,2015-01-22,2016-04-25,2024-08-27,2017-06-20,2025-07-29,2017-12-28,,2021-10-01,2022-09-07,,492,440,52
371,서초구,방배5,방배동 946-8,서초구 서초대로8길 27-5,민간,일반,단독주택 재건축,착공,2551,2010-09-02,2024-03-21,2004-12-16,2012-05-10,2012-12-26,2013-07-29,2024-05-30,2016-07-14,2024-07-25,,,2022-07-28,3064,2798,266
372,서초구,방배7,방배동 891-3,서초구 서초대로32길 30-6,민간,일반,단독주택 재건축,사업시행,229,2012-07-26,2023-12-28,2006-05-04,2021-01-11,2023-06-28,2024-06-25,,,,,,,316,299,17
373,서초구,방배삼익,방배동 1018-1,서초구 효령로34길 79,민간,일반,공동주택 재건축,착공,408,2012-02-09,2025-09-11,2009-09-28,2017-12-04,2018-09-18,2019-05-23,2024-09-25,2021-12-16,2024-08-06,,,2023-11-21,707,621,86
374,서초구,방배삼호,방배동 771-1,방배로43길 21,민간,일반,아파트지구 재건축,추진위,804,,,2005-06-29,,,,,,,,,,0,0,0
375,서초구,방배신동아,방배동 988-1,서초구 효령로 164,민간,일반,공동주택 재건축,관리처분,493,2020-05-14,2024-05-09,2020-09-02,2020-12-31,2025-07-07,2022-07-08,,2023-10-12,,2023-10-12,2024-01-12,,843,734,109
376,서초구,방배신삼호,방배동 725,방배로 270,민간,일반,공동주택 재건축,조합설립,481,2016-09-08,2024-12-26,2004-05-14,2019-03-15,,,,,,,,,920,785,135
377,서초구,삼호가든5차,반포동 30-1,서초중앙로 242,민간,일반,아파트지구 재건축,건축심의,168,2022-10-06,,2017-03-02,2020-09-09,2024-02-13,,,,,,,,305,260,45
378,서초구,서초신동아,서초동 1333,사임당로 137,민간,일반,아파트지구 재건축,착공,997,2004-12-27,2024-04-11,2003-12-19,2015-04-10,2016-08-23,2017-03-31,2024-04-15,2018-05-15,,,,2024-12-31,1161,1161,0
379,서초구,신반포12차,잠원동 50-5,서초구 나루터로 37,민간,일반,아파트지구 재건축,관리처분,324,2022-03-24,2022-03-24,2015-09-17,2021-04-20,2023-09-12,2024-06-04,,2025-09-22,,,,,432,387,45
380,서초구,신반포16차,잠원동 55-12,서초구 잠원로 157,민간,일반,아파트지구 재건축,관리처분,396,2022-04-07,,2017-03-23,2018-02-21,2023-05-11,2023-11-02,,2025-09-17,,,,,468,400,68
381,서초구,신반포18차337동,잠원동 49-17,잠원로 195,민간,일반,아파트지구 재건축,착공,182,2012-04-19,2019-06-05,2015-02-05,2015-12-18,2018-04-10,2019-04-29,2025-07-24,2021-01-14,2024-06-03,,,2023-01-09,178,178,0
382,서초구,"신반포19차,25차",잠원동 61-2,서초구 잠원로8길 20,민간,일반,아파트지구 재건축,조합설립,447,2022-03-03,2025-11-13,,2022-03-07,,,,,,,,,0,0,0
383,서초구,신반포21차,잠원동 59-10,서초구 신반포로 267,민간,일반,아파트지구 재건축,착공,108,2018-10-11,2018-10-11,2016-09-29,2017-05-16,2018-10-25,2019-08-14,2021-12-01,2021-04-23,2023-07-26,,,2022-03-29,251,209,42
384,서초구,신반포22차,잠원동 65-33,서초구 잠원로 86,민간,일반,아파트지구 재건축,착공,132,2017-03-02,,2016-02-23,2017-04-06,2017-06-20,2017-09-22,2022-06-23,2018-04-13,2018-04-13,,,2024-04-24,160,160,0
385,서초구,신반포27차,잠원동 56-2,서초구 잠원로8길 3,민간,일반,아파트지구 재건축,관리처분,156,2021-02-15,,2017-02-28,2018-06-06,2022-04-26,2023-01-12,,2025-09-23,,,,,210,177,33
386,서초구,신반포2차,잠원동 73,서초구 신반포로23길 41,민간,일반,공동주택 재건축,조합설립,1572,2024-07-11,2025-02-20,2003-09-01,2020-11-16,,,,,,,,,2057,1797,260
387,서초구,신반포4차,잠원동 70,서초구 잠원로 37-48,민간,일반,아파트지구 재건축,조합설립,1212,2023-09-21,2024-08-22,2003-11-24,2019-12-31,,,,,,,,,1828,1543,285
388,서초구,신반포7차,잠원동 65-32,잠원로 88,공공,일반,아파트지구 재건축,조합설립,320,,,,2002-12-24,,,,,,,,,857,652,205
389,서초구,신반포궁전,반포동 65-1,서초구 사평대로 142,민간,일반,공동주택 재건축,조합설립,108,2014-08-21,,2015-05-07,2025-11-21,,,,,,,,,249,208,41
390,서초구,강남원효성빌라,반포동 591-1 외5,서초구 사평대로 20길76,민간,일반,공동주택 재건축,조합설립,103,2021-01-21,2021-01-21,2022-01-06,2022-12-19,,,,,,,,,103,103,0
391,서초구,반포미도1차,반포동 60-4,서초구 서초중앙로29길 28,민간,일반,공동주택 재건축,조합설립,1260,2024-04-25,,2025-01-24,2025-09-30,,,,,,,,,1739,1531,208
392,서초구,방배15구역,방배동 528-3,서초구 청두곶8길 16-9,민간,일반,단독주택 재건축,건축심의,1619,2022-09-08,2022-09-08,2023-04-06,2023-12-19,2025-09-30,,,,,,,,1688,1378,310
393,서초구,방배임광3차,방배동 1010-1 외 1,서초구 방배로2길 24-5,민간,일반,공동주택 재건축,구역지정,316,2025-07-17,,,,,,,,,,,,379,332,47
394,서초구,서초진흥아파트,서초동 1315,서초구 서초대로 385,민간,일반,아파트지구 재건축,조합설립,615,2025-01-23,,2004-05-13,2020-03-12,,,,,,,,,857,763,94
395,강남구,도곡개포한신,도곡동 464,언주로 123 ,민간,일반,공동주택 재건축,관리처분,620,2017-03-16,2017-03-16,2003-11-14,2017-11-24,2020-07-28,2022-12-28,,2025-12-19,,,,,816,705,111
396,강남구,도곡삼익,도곡동 869,논현로 218 ,민간,일반,공동주택 재건축,추진위,273,2012-06-21,2012-06-21,2003-12-29,,,,,,,,,,369,318,51
397,강남구,은마아파트,대치동 316,삼성로 212 ,민간,일반,공동주택 재건축,조합설립,4424,2023-02-16,2023-02-16,2003-12-31,2023-09-26,,,,,,,,,5962,5071,891
398,강남구,대치쌍용1차,대치동 66,삼성로67길 46,민간,일반,공동주택 재건축,사업시행,630,2013-10-04,2021-11-25,2014-11-20,2016-01-06,2018-01-23,2018-10-12,2022-05-15,,,,,,999,867,132
399,강남구,대치쌍용2차(통합재건축),대치동 65,삼성로69길 47-5 ,민간,일반,공동주택 재건축,사업시행,364,2013-10-04,2013-10-04,2014-11-14,2015-07-02,2016-12-27,2017-09-12,2022-09-23,,,,,,1332,1173,159
400,강남구,대치우성1차(통합재건축),대치동 63,삼성로63길 46,민간,일반,공동주택 재건축,사업시행,476,2015-06-25,2018-12-06,2016-01-26,2017-01-17,2021-10-26,2022-09-08,,,,,,,1332,1173,159
